hscode,production_stage,attribution_reason,reviewer,review_date,confidence,dominant_use_rationale,mixed_use_flag,evidence_note
0202,finished product,"Packaged food, beverage, or prepared consumer product (MEAT OF BOVINE ANIMALS, FROZEN) formulated for direct retail and food-service distribution.",Methodology Team,2026-07-22,4,"Packaged food, beverage, or prepared consumer product (MEAT OF BOVINE ANIMALS, FROZEN) formulated for direct retail and food-service distribution.",false,"Prepared foodstuff and finished consumable item distributed directly to retail, commercial, and hospitality markets."
0306,finished product,"Packaged food, beverage, or prepared consumer product (CRSTCN, CRSTCN CKD BY STMNG/BLNG WTR, W/N SHL,LIVE,FRSH,CHLD,FRZN,DRD,SLTD/IN BRINE;SMKD CRSTCN,W/N SHL,W/N CKD IN SMKNG) formulated for direct retail and food-service distribution.",Methodology Team,2026-07-22,4,"Packaged food, beverage, or prepared consumer product (CRSTCN, CRSTCN CKD BY STMNG/BLNG WTR, W/N SHL,LIVE,FRSH,CHLD,FRZN,DRD,SLTD/IN BRINE;SMKD CRSTCN,W/N SHL,W/N CKD IN SMKNG) formulated for direct retail and food-service distribution.",false,"Prepared foodstuff and finished consumable item distributed directly to retail, commercial, and hospitality markets."
0307,finished product,"Packaged food, beverage, or prepared consumer product (MOLUSCS W/N IN SHL ,LIVE,FRSH,CHLD,FRZN,DRIED,SLTD/INBRINE;SMKD MOLUSCS W/N IN SHL,W/N CKD BEFORE OR DURING SMKNG PROCSS) formulated for direct retail and food-service distribution.",Methodology Team,2026-07-22,4,"Packaged food, beverage, or prepared consumer product (MOLUSCS W/N IN SHL ,LIVE,FRSH,CHLD,FRZN,DRIED,SLTD/INBRINE;SMKD MOLUSCS W/N IN SHL,W/N CKD BEFORE OR DURING SMKNG PROCSS) formulated for direct retail and food-service distribution.",false,"Prepared foodstuff and finished consumable item distributed directly to retail, commercial, and hospitality markets."
0713,agricultural commodity,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (DRID LEGUMINOUS VEG SHLD W/N SKINNED/SPLIT) traded in bulk agricultural markets.",Methodology Team,2026-07-22,4,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (DRID LEGUMINOUS VEG SHLD W/N SKINNED/SPLIT) traded in bulk agricultural markets.",false,Primary farm commodity and raw agricultural harvest supplying food processing plants and commodity trade networks.
0801,agricultural commodity,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (COCONUTS, BRAZIL NUTS AND CASHEW NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED) traded in bulk agricultural markets.",Methodology Team,2026-07-22,4,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (COCONUTS, BRAZIL NUTS AND CASHEW NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED) traded in bulk agricultural markets.",false,Primary farm commodity and raw agricultural harvest supplying food processing plants and commodity trade networks.
0802,agricultural commodity,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED) traded in bulk agricultural markets.",Methodology Team,2026-07-22,4,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED) traded in bulk agricultural markets.",false,Primary farm commodity and raw agricultural harvest supplying food processing plants and commodity trade networks.
0901,agricultural commodity,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (COFFEE, WHETHER OR NOT ROASTED OR DACAFFEINATED; COFFEE HUSKS AND SKINS; COFFEE SUBSTITUTES CONTAINING COFFEE) traded in bulk agricultural markets.",Methodology Team,2026-07-22,4,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (COFFEE, WHETHER OR NOT ROASTED OR DACAFFEINATED; COFFEE HUSKS AND SKINS; COFFEE SUBSTITUTES CONTAINING COFFEE) traded in bulk agricultural markets.",false,Primary farm commodity and raw agricultural harvest supplying food processing plants and commodity trade networks.
0902,agricultural commodity,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (TEA) traded in bulk agricultural markets.",Methodology Team,2026-07-22,4,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (TEA) traded in bulk agricultural markets.",false,Primary farm commodity and raw agricultural harvest supplying food processing plants and commodity trade networks.
0904,agricultural commodity,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (PEPPER OF THE GENUS PIPER; DRIED OR CRUSHED OR GROUND FRUITS OF THE GENUS CAPSICUM OR OF THE GENUS PIMENTA PEP) traded in bulk agricultural markets.",Methodology Team,2026-07-22,4,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (PEPPER OF THE GENUS PIPER; DRIED OR CRUSHED OR GROUND FRUITS OF THE GENUS CAPSICUM OR OF THE GENUS PIMENTA PEP) traded in bulk agricultural markets.",false,Primary farm commodity and raw agricultural harvest supplying food processing plants and commodity trade networks.
1006,agricultural commodity,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (RICE) traded in bulk agricultural markets.",Methodology Team,2026-07-22,4,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (RICE) traded in bulk agricultural markets.",false,Primary farm commodity and raw agricultural harvest supplying food processing plants and commodity trade networks.
1302,agricultural commodity,Dual-use item (VEG SAPS AND EXTRCTS;PECTC SUBSTNCS PECTNATSPECTTS;AGAR) utilized both as an industrial intermediate input and as a finished equipment/consumer good across diverse sectors.,Methodology Team,2026-07-22,4,Dual-use item (VEG SAPS AND EXTRCTS;PECTC SUBSTNCS PECTNATSPECTTS;AGAR) utilized both as an industrial intermediate input and as a finished equipment/consumer good across diverse sectors.,true,Empirical trade flows indicate dual sourcing for both industrial assembly lines and direct commercial or consumer end markets.
1507,agricultural commodity,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (SOYA BEAN OIL AND ITS FRACTNS W/N REFIND BUT NOT CHEMICALLY MODIFIED) traded in bulk agricultural markets.",Methodology Team,2026-07-22,4,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (SOYA BEAN OIL AND ITS FRACTNS W/N REFIND BUT NOT CHEMICALLY MODIFIED) traded in bulk agricultural markets.",false,Primary farm commodity and raw agricultural harvest supplying food processing plants and commodity trade networks.
1511,agricultural commodity,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (PALM OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED) traded in bulk agricultural markets.",Methodology Team,2026-07-22,4,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (PALM OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED) traded in bulk agricultural markets.",false,Primary farm commodity and raw agricultural harvest supplying food processing plants and commodity trade networks.
1512,agricultural commodity,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (SUNFLOWER SEED, SAFFLOWER OR COTTON SEED OIL AND THEIR FRACTIONS THEREOF, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY M) traded in bulk agricultural markets.",Methodology Team,2026-07-22,4,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (SUNFLOWER SEED, SAFFLOWER OR COTTON SEED OIL AND THEIR FRACTIONS THEREOF, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY M) traded in bulk agricultural markets.",false,Primary farm commodity and raw agricultural harvest supplying food processing plants and commodity trade networks.
1515,agricultural commodity,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (OTHR FIXD VEGETABLE OR MICROBIAL FATS AND OILS(INCL JOJOBA OIL)AND THEIR FRCTNS,WHTHR OR NOT REFND,BUT NOT CHEMCLY MODFD) traded in bulk agricultural markets.",Methodology Team,2026-07-22,4,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (OTHR FIXD VEGETABLE OR MICROBIAL FATS AND OILS(INCL JOJOBA OIL)AND THEIR FRCTNS,WHTHR OR NOT REFND,BUT NOT CHEMCLY MODFD) traded in bulk agricultural markets.",false,Primary farm commodity and raw agricultural harvest supplying food processing plants and commodity trade networks.
1701,agricultural commodity,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (CANE/BEET SUGR CHMCLY PURE SUCRSE IN SOLID) traded in bulk agricultural markets.",Methodology Team,2026-07-22,4,"Primary harvested agricultural crop, farm produce, or unrefined natural commodity (CANE/BEET SUGR CHMCLY PURE SUCRSE IN SOLID) traded in bulk agricultural markets.",false,Primary farm commodity and raw agricultural harvest supplying food processing plants and commodity trade networks.
2101,finished product,"Packaged food, beverage, or prepared consumer product (EXTRTS ESSNCS AND CNCNTRTS OF COFFE TEA/ MATEAND THR PRPN;RSTD CHICORY AND OTHR RSTD COFFE SUBSTITUTS,EXTRCTS,ESSNC) formulated for direct retail and food-service distribution.",Methodology Team,2026-07-22,4,"Packaged food, beverage, or prepared consumer product (EXTRTS ESSNCS AND CNCNTRTS OF COFFE TEA/ MATEAND THR PRPN;RSTD CHICORY AND OTHR RSTD COFFE SUBSTITUTS,EXTRCTS,ESSNC) formulated for direct retail and food-service distribution.",false,"Prepared foodstuff and finished consumable item distributed directly to retail, commercial, and hospitality markets."
2106,finished product,Dual-use item (OTHR FOOD PREPRNS N.E.S.) utilized both as an industrial intermediate input and as a finished equipment/consumer good across diverse sectors.,Methodology Team,2026-07-22,4,Dual-use item (OTHR FOOD PREPRNS N.E.S.) utilized both as an industrial intermediate input and as a finished equipment/consumer good across diverse sectors.,true,Empirical trade flows indicate dual sourcing for both industrial assembly lines and direct commercial or consumer end markets.
2401,finished product,"Packaged food, beverage, or prepared consumer product (UNMANUFACTURED TOBACCO; TOBACCO REFUSE) formulated for direct retail and food-service distribution.",Methodology Team,2026-07-22,4,"Packaged food, beverage, or prepared consumer product (UNMANUFACTURED TOBACCO; TOBACCO REFUSE) formulated for direct retail and food-service distribution.",false,"Prepared foodstuff and finished consumable item distributed directly to retail, commercial, and hospitality markets."
2503,raw material,"Unprocessed mineral ore or crude geological substance (SULPHUR OF ALL KINDS, OTHER THAN SUBLIMED SULPHUR, PRECIPITATED SULPHUR AND COLLODIAL SULPHUR) extracted for industrial smelting or chemical refining.",Methodology Team,2026-07-22,4,"Unprocessed mineral ore or crude geological substance (SULPHUR OF ALL KINDS, OTHER THAN SUBLIMED SULPHUR, PRECIPITATED SULPHUR AND COLLODIAL SULPHUR) extracted for industrial smelting or chemical refining.",false,Mineral feedstock imported or exported in bulk as primary raw material for metallurgical and fertilizer manufacturing.
2510,raw material,"Unprocessed mineral ore or crude geological substance (NATRL CALCIUM PHOSPHATES,NATRL ALMNM CALCIUM PHOSPHATES AND PHOSPHATIC CHALK) extracted for industrial smelting or chemical refining.",Methodology Team,2026-07-22,4,"Unprocessed mineral ore or crude geological substance (NATRL CALCIUM PHOSPHATES,NATRL ALMNM CALCIUM PHOSPHATES AND PHOSPHATIC CHALK) extracted for industrial smelting or chemical refining.",false,Mineral feedstock imported or exported in bulk as primary raw material for metallurgical and fertilizer manufacturing.
2601,raw material,"Unprocessed mineral ore or crude geological substance (IRON ORES AND CONCENTRATES, INCLUDING ROASTED IRON PYRITES IRON ORES AND CONCENTRATES, OTHER THAN ROASTED IRO) extracted for industrial smelting or chemical refining.",Methodology Team,2026-07-22,4,"Unprocessed mineral ore or crude geological substance (IRON ORES AND CONCENTRATES, INCLUDING ROASTED IRON PYRITES IRON ORES AND CONCENTRATES, OTHER THAN ROASTED IRO) extracted for industrial smelting or chemical refining.",false,Mineral feedstock imported or exported in bulk as primary raw material for metallurgical and fertilizer manufacturing.
2602,raw material,Unprocessed mineral ore or crude geological substance (MN ORES AND CONCENTRATS INCLDNG FERRUGINS MN ORS AND CONCNTRTS WTH MN CNTNT 20 PERCNTOR MORE CALCULTED ON THE DRY WEI) extracted for industrial smelting or chemical refining.,Methodology Team,2026-07-22,4,Unprocessed mineral ore or crude geological substance (MN ORES AND CONCENTRATS INCLDNG FERRUGINS MN ORS AND CONCNTRTS WTH MN CNTNT 20 PERCNTOR MORE CALCULTED ON THE DRY WEI) extracted for industrial smelting or chemical refining.,false,Mineral feedstock imported or exported in bulk as primary raw material for metallurgical and fertilizer manufacturing.
2603,raw material,Unprocessed mineral ore or crude geological substance (COPPER ORES AND CONCERTRATES) extracted for industrial smelting or chemical refining.,Methodology Team,2026-07-22,4,Unprocessed mineral ore or crude geological substance (COPPER ORES AND CONCERTRATES) extracted for industrial smelting or chemical refining.,false,Mineral feedstock imported or exported in bulk as primary raw material for metallurgical and fertilizer manufacturing.
2701,energy input,Dual-use item (COAL BRIQUETTES OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL) utilized both as an industrial intermediate input and as a finished equipment/consumer good across diverse sectors.,Methodology Team,2026-07-22,4,Dual-use item (COAL BRIQUETTES OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL) utilized both as an industrial intermediate input and as a finished equipment/consumer good across diverse sectors.,true,Empirical trade flows indicate dual sourcing for both industrial assembly lines and direct commercial or consumer end markets.
2704,energy input,"Primary fuel, refined petroleum, or energetic feedstock (COKE AND SEMI) consumed in power generation, transportation, and thermal industrial processes.",Methodology Team,2026-07-22,4,"Primary fuel, refined petroleum, or energetic feedstock (COKE AND SEMI) consumed in power generation, transportation, and thermal industrial processes.",false,"Combustible energy input and refined fuel supplying national grid generation, transport networks, and industrial heating."
2707,energy input,"Primary fuel, refined petroleum, or energetic feedstock (OILS AND OTHER PRODUCTS OF THE DISTILLATION OF HIGH TEMPERATURE COAL TAR SIMILAR PRODUCTS IN WHICH THE WEIGHT) consumed in power generation, transportation, and thermal industrial processes.",Methodology Team,2026-07-22,4,"Primary fuel, refined petroleum, or energetic feedstock (OILS AND OTHER PRODUCTS OF THE DISTILLATION OF HIGH TEMPERATURE COAL TAR SIMILAR PRODUCTS IN WHICH THE WEIGHT) consumed in power generation, transportation, and thermal industrial processes.",false,"Combustible energy input and refined fuel supplying national grid generation, transport networks, and industrial heating."
2709,energy input,"Primary fuel, refined petroleum, or energetic feedstock (PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, CRUDE) consumed in power generation, transportation, and thermal industrial processes.",Methodology Team,2026-07-22,4,"Primary fuel, refined petroleum, or energetic feedstock (PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, CRUDE) consumed in power generation, transportation, and thermal industrial processes.",false,"Combustible energy input and refined fuel supplying national grid generation, transport networks, and industrial heating."
2710,energy input,Dual-use item (PETROLEUM OILSAND OILS OBTND FRM BITMNS MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS) utilized both as an industrial intermediate input and as a finished equipment/consumer good across diverse sectors.,Methodology Team,2026-07-22,4,Dual-use item (PETROLEUM OILSAND OILS OBTND FRM BITMNS MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS) utilized both as an industrial intermediate input and as a finished equipment/consumer good across diverse sectors.,true,Empirical trade flows indicate dual sourcing for both industrial assembly lines and direct commercial or consumer end markets.
2711,energy input,Dual-use item (PETRLM GASES AND OTHR GASEOUS HYDRCRBNS) utilized both as an industrial intermediate input and as a finished equipment/consumer good across diverse sectors.,Methodology Team,2026-07-22,4,Dual-use item (PETRLM GASES AND OTHR GASEOUS HYDRCRBNS) utilized both as an industrial intermediate input and as a finished equipment/consumer good across diverse sectors.,true,Empirical trade flows indicate dual sourcing for both industrial assembly lines and direct commercial or consumer end markets.
2713,energy input,"Primary fuel, refined petroleum, or energetic feedstock (PETROLM COKE PETROLM BITUMN AND OTHR RESDUS OF PETRLM OILS/OILS OBTND FRM BITMNS MNRLS) consumed in power generation, transportation, and thermal industrial processes.",Methodology Team,2026-07-22,4,"Primary fuel, refined petroleum, or energetic feedstock (PETROLM COKE PETROLM BITUMN AND OTHR RESDUS OF PETRLM OILS/OILS OBTND FRM BITMNS MNRLS) consumed in power generation, transportation, and thermal industrial processes.",false,"Combustible energy input and refined fuel supplying national grid generation, transport networks, and industrial heating."
2716,energy input,"Primary fuel, refined petroleum, or energetic feedstock (ELECTRICAL ENERGY) consumed in power generation, transportation, and thermal industrial processes.",Methodology Team,2026-07-22,4,"Primary fuel, refined petroleum, or energetic feedstock (ELECTRICAL ENERGY) consumed in power generation, transportation, and thermal industrial processes.",false,"Combustible energy input and refined fuel supplying national grid generation, transport networks, and industrial heating."
2809,intermediate input,"Processed chemical compound, reagent, or industrial formulation (DIPHOSPHORUS PENTAOXIDE; PHOSPHORIC ACID; POLYPHOSPHORIC ACIDS, WHETHER OR NOT CHEMICALLY DEFINED) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (DIPHOSPHORUS PENTAOXIDE; PHOSPHORIC ACID; POLYPHOSPHORIC ACIDS, WHETHER OR NOT CHEMICALLY DEFINED) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2814,intermediate input,"Processed chemical compound, reagent, or industrial formulation (AMMONIA, ANHYDROUS OR IN AQUEOUS SOLUTION) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (AMMONIA, ANHYDROUS OR IN AQUEOUS SOLUTION) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2818,intermediate input,"Processed chemical compound, reagent, or industrial formulation (ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINIUM OXIDE; ALUMINIUM HYDROXIDE) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINIUM OXIDE; ALUMINIUM HYDROXIDE) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2843,intermediate input,"Processed chemical compound, reagent, or industrial formulation (COLLOIDL PRECIOUS METALS;INORGNC/ORGNC CMPNDS OF PRECIOUS METALS W/N CHMCLY DEFINED AMALGAMS OF PRECIOUS METAL) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (COLLOIDL PRECIOUS METALS;INORGNC/ORGNC CMPNDS OF PRECIOUS METALS W/N CHMCLY DEFINED AMALGAMS OF PRECIOUS METAL) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2901,intermediate input,"Processed chemical compound, reagent, or industrial formulation (ACYCLIC HYDROCARBONS) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (ACYCLIC HYDROCARBONS) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2902,intermediate input,"Processed chemical compound, reagent, or industrial formulation (CYCLIC HYDROCARBONS) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (CYCLIC HYDROCARBONS) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2903,intermediate input,"Processed chemical compound, reagent, or industrial formulation (HALOGENATED DERIVATIVES OF HYDROCARBONS) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (HALOGENATED DERIVATIVES OF HYDROCARBONS) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2905,intermediate input,"Processed chemical compound, reagent, or industrial formulation (ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2915,intermediate input,"Processed chemical compound, reagent, or industrial formulation (SATRTD ACYLC MONOCRBOXYLIC ACIDS AND THR ANHYDRTDS,HALIDS,PEROXIDS AND PEROXY ACIDS; THR HALGNTD SLPHNTD NITRTD/NITRS) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (SATRTD ACYLC MONOCRBOXYLIC ACIDS AND THR ANHYDRTDS,HALIDS,PEROXIDS AND PEROXY ACIDS; THR HALGNTD SLPHNTD NITRTD/NITRS) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2916,intermediate input,"Processed chemical compound, reagent, or industrial formulation (UNSATURATED ACYCLIC MONOCARBOXYLIC ACIDS, CYCLIC MONOCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES AND P) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (UNSATURATED ACYCLIC MONOCARBOXYLIC ACIDS, CYCLIC MONOCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES AND P) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
2917,intermediate input,"Processed chemical compound, reagent, or industrial formulation (PLYCRBOXYLC ACDS,THR ANHYDRDS,HALIDES, PEROXIDES ANDPEROXYACDS,OTHR HALGNTD SLPHNTDNITRATED OR NITROSATED DERIVATIVES) incorporated into downstream chemical, pharma, or polymer synthesis.",Methodology Team,2026-07-22,4,"Processed chemical compound, reagent, or industrial formulation (PLYCRBOXYLC ACDS,THR ANHYDRDS,HALIDES, PEROXIDES ANDPEROXYACDS,OTHR HALGNTD SLPHNTDNITRATED OR NITROSATED DERIVATIVES) incorporated into downstream chemical, pharma, or polymer synthesis.",false,Specialty chemical intermediate and building block consumed by domestic formulation plants and industrial syntheses.
