hscode,sector,import_type,import_reason,buildability_category,best_lever,time_horizon,technology_complexity,input_dependency,domestic_capacity_proxy,confidence,realistic_reduction_low_pct,realistic_reduction_high_pct,notes
2709,Energy,energy input,"India has limited crude reserves relative to refinery throughput and transport demand.",structurally imported,demand shaping,10+ years,high,high,"Large refining base; limited upstream resource endowment",5,5,15,"Electrification and efficiency reduce demand slowly; domestic refining does not replace crude feedstock."
7108,Precious metals,consumption asset,"Household savings and jewellery demand exceed domestic mine supply.",substitutable,demand shaping,3–7 years,low,low,"Deep jewellery ecosystem; negligible mine supply",4,10,25,"Financial-gold products and recycling can reduce physical inflows; cultural demand limits the ceiling."
8542,Electronics,intermediate component,"Advanced semiconductor fabrication and packaging capacity remain below domestic electronics demand.",partly buildable,domestic manufacturing,7–10 years,very high,high,"Growing design and assembly base; early fabrication and packaging capacity",4,10,25,"Assembly growth can raise both exports and component imports, so impact must be measured net."
2701,Energy,energy input,"Power, steel and cement users require grades and volumes not fully met by domestic mines.",partly buildable,demand shaping,5–10 years,medium,medium,"Large domestic coal output; quality and logistics gaps persist",4,10,25,"Renewables, efficiency, rail logistics and selective mine output matter more than blanket import compression."
2711,Energy,energy input,"Gas demand exceeds domestic production and LPG consumption relies on imported supply.",structurally imported,sourcing diversification,5–10 years,high,high,"Gas grid and terminals are expanding; upstream supply is constrained",4,5,15,"Diversification reduces concentration risk; biogas and electrification provide limited substitution."
8802,Aerospace,capital good,"Airline fleet expansion and defence or space requirements depend on globally concentrated OEMs.",partly buildable,domestic manufacturing,10+ years,very high,high,"Strong space and defence engineering; limited commercial aircraft integration",3,5,15,"Productive imports can build connectivity and future capability; local content is the practical target."
8471,Electronics,finished good,"Demand for computers and servers outpaces domestic component ecosystems and branded product scale.",partly buildable,domestic manufacturing,3–7 years,high,high,"Fast-growing electronics assembly and EMS base",4,15,35,"Final assembly is feasible sooner than deep component localisation."
7106,Precious metals,raw material,"Industrial, solar and investment demand exceed limited domestic silver mine output.",recoverable,recycling,3–7 years,medium,medium,"Established precious-metal refining and recycling network",3,10,25,"Recovery from electronics and industrial scrap can help, but collection quality is the bottleneck."
1511,Edible oils,agricultural commodity,"Consumption exceeds domestic oil-palm output and suitable growing zones are limited.",growable,crop-yield expansion,7–10 years,medium,medium,"Oil-palm programmes in southern and north-eastern states",4,5,15,"Expansion competes for land and water; food-price and ecological safeguards constrain substitution."
3105,Fertiliser,agricultural commodity,"Farm nutrient demand and feedstock constraints exceed domestic complex-fertiliser supply.",partly buildable,domestic manufacturing,3–7 years,high,high,"Large blending and distribution base; imported potash and phosphates",4,10,20,"More local conversion still relies on imported mineral feedstocks, limiting net savings."
1507,Edible oils,agricultural commodity,"Soybean-oil demand exceeds domestic crush and oilseed yields.",growable,crop-yield expansion,5–10 years,medium,medium,"Large soybean acreage and crushing industry",4,10,20,"Yield, seed quality and processing improvements are more realistic than acreage-only expansion."
2603,Base metals,raw material,"Copper smelting and manufacturing demand exceed domestic ore production and grade availability.",structurally imported,sourcing diversification,7–10 years,high,high,"Domestic smelting and fabrication capacity; limited mine pipeline",4,5,15,"Recycling can supplement supply, but ore imports remain linked to productive downstream activity."
2843,Precious metals,intermediate component,"Electronics, catalysts and refining require specialised precious-metal compounds not made at sufficient scale.",recoverable,recycling,3–7 years,very high,high,"Specialised refiners exist but collection and refining scale are limited",3,10,25,"Urban mining and catalyst recovery offer a clearer route than primary extraction."
3102,Fertiliser,agricultural commodity,"Nitrogen fertiliser demand and gas economics exceed efficient domestic production.",partly buildable,domestic manufacturing,3–7 years,high,high,"Large installed fertiliser capacity and distribution network",4,10,20,"Domestic output can replace product imports but may still require imported gas, so net impact is lower."
8524,Electronics,intermediate component,"Display modules and flat-panel components depend on East Asian scale and technology ecosystems.",partly buildable,domestic manufacturing,5–10 years,very high,high,"Strong device assembly; nascent display-component base",3,10,25,"Module assembly is nearer-term; substrate and panel fabrication require scale and technology transfer."
8541,Electronics,intermediate component,"Power devices, LEDs and discrete semiconductors require specialised fabs and materials ecosystems.",partly buildable,domestic manufacturing,5–10 years,very high,high,"Design talent and announced packaging or fab projects",4,15,30,"Power and mature-node devices are more tractable than leading-edge chips."
8507,Clean technology,intermediate component,"Battery-cell demand is rising faster than domestic cell production and critical-mineral processing.",partly buildable,domestic manufacturing,3–7 years,very high,high,"Pack assembly and announced cell plants; weak mineral base",4,20,40,"Cells are buildable, but lithium, nickel and cobalt inputs will remain substantially imported."
