finished_hscode,input_hscode,input_role,link_basis,domestic_availability,domestic_evidence_hscode,conversion_gap,time_horizon,evidence_grade,source_url,source_date,notes
8517,8542,critical electronic component,"Electronics pilot and official semiconductor-programme context",unknown,8542,"Product-level evidence is needed for semiconductor content, domestic wafer and packaging capability, required scale, and imported-input dependence.",not assessed,E1,https://ism.gov.in/,2026-07-26,"HS 8517 is mixed-use and includes both equipment and parts. This directional research link does not establish a bill-of-material share or feasibility finding."
8517,8507,energy-storage component,"Electronics pilot and official ACC-programme context",unknown,8507,"Product-level evidence is needed for battery content within HS 8517 products, cell chemistry, required scale, and imported-mineral dependence.",not assessed,E1,https://heavyindustries.gov.in/en/pli-scheme-national-programme-advanced-chemistry-cell-acc-battery-storage,2026-07-26,"The HS-4 battery heading serves several end uses. This directional research link does not allocate any share of HS 8507 imports to phones."
8471,8542,critical electronic component,"Official IT Hardware PLI context and electronics pilot",unknown,8542,"Product-level evidence is needed for processor and memory content, domestic wafer and packaging capability, required scale, and imported-input dependence.",not assessed,E1,https://www.meity.gov.in/offerings/schemes-and-services/details/production-linked-incentive-scheme-pli-2-0-for-it-hardware-wM0MDOtQWa,2026-07-26,"HS 8471 covers computers and ADP units. This directional research link does not establish a bill-of-material share or feasibility finding."
8471,8507,energy-storage component,"Official IT Hardware PLI context and electronics pilot",unknown,8507,"For portable products within HS 8471, product-level evidence is needed for battery content, cell chemistry, required scale, and imported-input dependence.",not assessed,E1,https://www.meity.gov.in/offerings/schemes-and-services/details/production-linked-incentive-scheme-pli-2-0-for-it-hardware-wM0MDOtQWa,2026-07-26,"Applies only to portable products within HS 8471. This directional research link does not establish a bill-of-material share or feasibility finding."
8414,8501,power drive motor,Machinery pilot input investigation,unknown,8501,"Product-level evidence is needed for motor specifications, domestic manufacturing capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.ieema.org/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8414,7208,casing & structural fabrication,Machinery pilot input investigation,unknown,7208,"Product-level evidence is needed for structural fabrication specifications, domestic casting and machining capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://steel.gov.in/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8414,8482,rotational support bearing,Machinery pilot input investigation,unknown,8482,"Product-level evidence is needed for bearing specifications, domestic bearing manufacturing capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.nbcbearings.com/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8414,8481,pressure control valve,Machinery pilot input investigation,unknown,8481,"Product-level evidence is needed for valve specifications, domestic valve manufacturing capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.lntvalves.com/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8421,7326,pressure vessel & filter housing,Machinery pilot input investigation,unknown,7326,"Product-level evidence is needed for vessel and filter housing specifications, domestic fabrication capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.bharatforge.com/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8421,8413,fluid circulation pump,Machinery pilot input investigation,unknown,8413,"Product-level evidence is needed for pump specifications, domestic pump manufacturing capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.kirloskarpumps.com/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8421,8537,process control panel,Machinery pilot input investigation,unknown,8537,"Product-level evidence is needed for control-panel assembly, PLC integration, sensor and processor modules, domestic capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.ieema.org/,2026-07-26,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8428,7208,structural frame & boom fabrication,Machinery pilot input investigation,unknown,7208,"Product-level evidence is needed for structural frame and boom fabrication specifications, domestic capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://steel.gov.in/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8428,8501,hoisting & travel motor,Machinery pilot input investigation,unknown,8501,"Product-level evidence is needed for hoisting and travel motor specifications, domestic motor manufacturing capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.ieema.org/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
8428,8483,industrial gearbox & winch drive,Machinery pilot input investigation,unknown,8483,"Product-level evidence is needed for gearbox and winch drive specifications, domestic gear hardening and manufacturing capability, capacity, quality, cost, scale, and imported-input dependence.",not assessed,E1,https://www.elecon.com/,2026-05-15,"Directional organization-level context only; no company-specific production, bill-of-material share, or import dependence finding is asserted."
